recall@10,tm_X3b_en_body_value,tm_X3b_en_field_ref_desc,tm_X3b_en_field_ref_titre,tm_X3b_en_mots_cles,tm_X3b_en_title,tm_X3b_en_corps_value,tm_X3b_en_paragraphs_text,tm_X3b_en_name,tm_X3b_en_mission_value,tm_X3b_en_text_content
0.7664,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,1.4590,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.9017,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6338,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.7678,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.7166,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6850,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6654,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6534,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6459,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6413,1.0000,1.0000,1.0000
0.7992,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6384,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6430,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6441,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6448,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6452,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6455,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6456,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6457,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,1.0000,1.0000,1.0000
0.7541,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,3.8197,1.0000,1.0000
0.6066,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,6.1803,1.0000,1.0000
0.8115,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.3607,1.0000,1.0000
0.8115,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,1.4590,1.0000,1.0000
0.8197,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,1.9098,1.0000,1.0000
0.8197,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,1.9099,1.0000,1.0000
0.8197,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,1.9099,1.0000,1.0000
0.8197,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.0821,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1885,1.0000,1.0000
0.8197,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.2543,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1783,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1745,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1721,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1706,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1697,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1691,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1687,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1685,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1684,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1683,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1683,1.0000,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,1.0000,1.0000
0.7746,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,3.8197,1.0000
0.6639,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,6.1803,1.0000
0.8115,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,2.3607,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,0.8541,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,0.9006,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,0.8773,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,0.8685,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,0.8630,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,0.8596,1.0000
0.8238,1.4590,1.2776,1.4881,2.3607,2.4686,0.8875,0.6458,2.1682,0.8575,1.0000
